Total Time :12.212115316
New or Changed Entity :4051
Test To Run :1211
1 - org.apache.commons.io.FileUtilsTestCase.testMoveFile_CopyDelete_Failed 36  FAILURE Original exists,
2 - org.apache.commons.io.input.AutoCloseInputStreamTest.testRead 0  SUCCESSFUL 
3 - org.apache.commons.io.FilenameUtilsTestCase.testIsExtensionArray 10  FAILURE Unable to delete file: /Users/demigorgan/Documents/workspace/tldr/test/io/file1-test.txt,
4 - org.apache.commons.io.output.TeeOutputStreamTest.testTee 1  SUCCESSFUL 
5 - org.apache.commons.io.FileCleaningTrackerTestCase.testFileCleanerExitWhenFinishedFirst 625  FAILURE Failed to list contents of /Users/demigorgan/Documents/workspace/tldr/test/io,
6 - org.apache.commons.io.output.ProxyWriterTest.testWriteString 0  SUCCESSFUL 
7 - org.apache.commons.io.IOUtilsTestCase.testReadLines_Reader 4  SUCCESSFUL 
8 - org.apache.commons.io.input.BrokenInputStreamTest.testAvailable 0  SUCCESSFUL 
9 - org.apache.commons.io.monitor.FileAlterationObserverTestCase.testFileCreate 1  FAILURE ./test-observer is not a directory,
10 - org.apache.commons.io.output.XmlStreamWriterTest.testUTF16BEEncoding 0  SUCCESSFUL 
11 - org.apache.commons.io.monitor.FileAlterationMonitorTestCase.testThreadFactory 500  SUCCESSFUL 
12 - org.apache.commons.io.IOCaseTestCase.test_checkRegionMatches_case 0  SUCCESSFUL 
13 - org.apache.commons.io.FileUtilsTestCase.testCopyDirectoryPreserveDates 20  FAILURE /Users/demigorgan/Documents/workspace/tldr/test/io/target/directory/hello.txt (No such file or directory),
14 - org.apache.commons.io.FileUtilsTestCase.testForceDeleteAFile3 4  SUCCESSFUL 
15 - org.apache.commons.io.FileUtilsTestCase.testForceDeleteAFile2 3  SUCCESSFUL 
16 - org.apache.commons.io.FileUtilsTestCase.testForceDeleteAFile1 5  SUCCESSFUL 
17 - org.apache.commons.io.IOUtilsWriteTestCase.testWriteLines_OutputStream_nullData 1  SUCCESSFUL 
18 - org.apache.commons.io.IOUtilsTestCase.testByteArrayToWriter 4  FAILURE Could not clear up /Users/demigorgan/Documents/workspace/tldr/test/io,
19 - org.apache.commons.io.IOUtilsCopyTestCase.testCopy_readerToWriter_nullOut 0  SUCCESSFUL 
20 - org.apache.commons.io.IOUtilsTestCase.testInputStreamToCharArray 8  SUCCESSFUL 
21 - org.apache.commons.io.DirectoryWalkerTestCase.testHandleStartDirectoryFalse 1  SUCCESSFUL 
22 - org.apache.commons.io.output.StringBuilderWriterTest.testAppendConstructNull 0  SUCCESSFUL 
23 - org.apache.commons.io.input.CountingInputStreamTest.testLargeFiles_IO84 251  SUCCESSFUL 
24 - org.apache.commons.io.IOUtilsCopyTestCase.testCopy_inputStreamToWriter_nullIn 0  SUCCESSFUL 
25 - org.apache.commons.io.FileUtilsTestCase.testWriteStringToFile2 3  SUCCESSFUL 
26 - org.apache.commons.io.FileUtilsTestCase.testWriteLines_5argsWithAppendOptionFalse_ShouldDeletePreviousFileLines 4  SUCCESSFUL 
27 - org.apache.commons.io.input.ClassLoaderObjectInputStreamTest.testResolveProxyClass 1  SUCCESSFUL 
28 - org.apache.commons.io.IOUtilsTestCase.testSkipReader 0  FAILURE Can't run this test because environment could not be built: /Users/demigorgan/Documents/workspace/tldr/test/io/file2-test.txt (No such file or directory),
29 - org.apache.commons.io.output.XmlStreamWriterTest.testEmpty 0  SUCCESSFUL 
30 - org.apache.commons.io.FileUtilsCleanSymlinksTestCase.testIdentifiesSymlinkFile 17  FAILURE 
31 - org.apache.commons.io.FileUtilsTestCase.testContentEquals 9  SUCCESSFUL 
32 - org.apache.commons.io.LineIteratorTestCase.testZeroLines 1  FAILURE /Users/demigorgan/Documents/workspace/tldr/test/io does not exist,
33 - org.apache.commons.io.input.NullInputStreamTest.testMarkAndReset 1  SUCCESSFUL 
34 - org.apache.commons.io.FileUtilsWaitForTestCase.testWaitFor 5632  SUCCESSFUL 
35 - org.apache.commons.io.output.ProxyWriterTest.testNullString 1  SUCCESSFUL 
36 - org.apache.commons.io.filefilter.FileFilterTestCase.testNameFilterNullListArgument 1  SUCCESSFUL 
37 - org.apache.commons.io.IOUtilsWriteTestCase.testWrite_charSequenceToOutputStream_Encoding_nullStream 0  SUCCESSFUL 
38 - org.apache.commons.io.ThreadMonitorTestCase.testTimeout 106  SUCCESSFUL 
