Total Time :5.830324699
New or Changed Entity :0
Test To Run :28
1 - org.apache.commons.io.FileSystemUtilsTestCase.testGetFreeSpaceWindows_String_InvalidTextResponse 0  SUCCESSFUL 
2 - org.apache.commons.io.FileSystemUtilsTestCase.testGetFreeSpaceWindows_String_StripDrive 18  SUCCESSFUL 
3 - org.apache.commons.io.FileSystemUtilsTestCase.testGetFreeSpaceWindows_String_NoSuchDirectoryResponse 0  SUCCESSFUL 
4 - org.apache.commons.io.FileSystemUtilsTestCase.testGetFreeSpaceOS_String_NullPath 0  SUCCESSFUL 
5 - org.apache.commons.io.FileSystemUtilsTestCase.testGetFreeSpaceOS_String_Windows 1  SUCCESSFUL 
6 - org.apache.commons.io.FileSystemUtilsTestCase.testGetFreeSpaceUnix_String_NormalResponseKbSolaris 0  SUCCESSFUL 
7 - org.apache.commons.io.FileSystemUtilsTestCase.testGetFreeSpaceUnix_String_InvalidResponse3 0  SUCCESSFUL 
8 - org.apache.commons.io.FileSystemUtilsTestCase.testGetFreeSpaceUnix_String_InvalidResponse4 1  SUCCESSFUL 
9 - org.apache.commons.io.FileSystemUtilsTestCase.testGetFreeSpaceUnix_String_InvalidResponse1 0  SUCCESSFUL 
10 - org.apache.commons.io.FileSystemUtilsTestCase.testGetFreeSpaceUnix_String_LongResponseKb 0  SUCCESSFUL 
11 - org.apache.commons.io.FileSystemUtilsTestCase.testGetFreeSpaceUnix_String_InvalidResponse2 1  SUCCESSFUL 
12 - org.apache.commons.io.FileSystemUtilsTestCase.testGetFreeSpaceWindows_String_EmptyMultiLineResponse 8  SUCCESSFUL 
13 - org.apache.commons.io.FileSystemUtilsTestCase.testGetFreeSpace_String 97  SUCCESSFUL 
14 - org.apache.commons.io.FileSystemUtilsTestCase.testGetFreeSpaceUnix_String_EmptyResponse 8  SUCCESSFUL 
15 - org.apache.commons.io.FileSystemUtilsTestCase.testGetFreeSpaceOS_String_Other 0  SUCCESSFUL 
16 - org.apache.commons.io.FileSystemUtilsTestCase.testGetFreeSpaceUnix_String_NormalResponseKbFreeBSD 18  SUCCESSFUL 
17 - org.apache.commons.io.FileSystemUtilsTestCase.testGetFreeSpaceWindows_String_quoted 18  SUCCESSFUL 
18 - org.apache.commons.io.FileSystemUtilsTestCase.testGetFreeSpaceOS_String_Unix 0  SUCCESSFUL 
19 - org.apache.commons.io.FileSystemUtilsTestCase.testGetFreeSpaceUnix_String_EmptyPath 5  SUCCESSFUL 
20 - org.apache.commons.io.FileSystemUtilsTestCase.testGetFreeSpaceWindows_String_NormalResponse 0  SUCCESSFUL 
21 - org.apache.commons.io.FileSystemUtilsTestCase.testGetFreeSpaceWindows_String_EmptyResponse 0  SUCCESSFUL 
22 - org.apache.commons.io.FileSystemUtilsTestCase.testGetFreeSpaceUnix_String_NormalResponseFreeBSD 17  SUCCESSFUL 
23 - org.apache.commons.io.FileSystemUtilsTestCase.testGetFreeSpaceUnix_String_NormalResponseKbLinux 0  SUCCESSFUL 
24 - org.apache.commons.io.FileSystemUtilsTestCase.testGetFreeSpaceOS_String_InitError 0  SUCCESSFUL 
25 - org.apache.commons.io.FileSystemUtilsTestCase.testGetFreeSpaceUnix_String_NormalResponseLinux 0  SUCCESSFUL 
26 - org.apache.commons.io.FileSystemUtilsTestCase.testGetFreeSpaceWindows_String_EmptyPath 8  SUCCESSFUL 
27 - org.apache.commons.io.FileSystemUtilsTestCase.testGetFreeSpaceUnix_String_LongResponse 0  SUCCESSFUL 
28 - org.apache.commons.io.FileSystemUtilsTestCase.testGetFreeSpaceWindows_String_ParseCommaFormatBytes 0  SUCCESSFUL 
TOTAL TEST RUN : 28
All Class File : 444
All Java File : 188
SIZE OF THE DATABASE : 
2.1M	/Users/demigorgan/dump.rdb
