Total Time :1.130216581
New or Changed Entity :1
Test To Run :15
1 - org.apache.commons.io.FileSystemUtilsTestCase.testGetFreeSpaceOS_String_Other 5  SUCCESSFUL 
2 - org.apache.commons.io.FileSystemUtilsTestCase.testGetFreeSpaceWindows_String_quoted 11  SUCCESSFUL 
3 - org.apache.commons.io.FileSystemUtilsTestCase.testGetFreeSpaceWindows_String_InvalidTextResponse 11  SUCCESSFUL 
4 - org.apache.commons.io.FileSystemUtilsTestCase.testGetFreeSpaceOS_String_Unix 1  SUCCESSFUL 
5 - org.apache.commons.io.FileSystemUtilsTestCase.testGetFreeSpaceWindows_String_NoSuchDirectoryResponse 2  SUCCESSFUL 
6 - org.apache.commons.io.FileSystemUtilsTestCase.testGetFreeSpaceWindows_String_StripDrive 11  SUCCESSFUL 
7 - org.apache.commons.io.FileSystemUtilsTestCase.testGetFreeSpaceWindows_String_NormalResponse 0  SUCCESSFUL 
8 - org.apache.commons.io.FileSystemUtilsTestCase.testGetFreeSpaceWindows_String_EmptyResponse 1  SUCCESSFUL 
9 - org.apache.commons.io.FileSystemUtilsTestCase.testGetFreeSpaceOS_String_NullPath 1  SUCCESSFUL 
10 - org.apache.commons.io.FileSystemUtilsTestCase.testGetFreeSpaceOS_String_Windows 5  SUCCESSFUL 
11 - org.apache.commons.io.FileSystemUtilsTestCase.testGetFreeSpaceOS_String_InitError 5  SUCCESSFUL 
12 - org.apache.commons.io.FileSystemUtilsTestCase.testGetFreeSpaceWindows_String_EmptyMultiLineResponse 10  SUCCESSFUL 
13 - org.apache.commons.io.FileSystemUtilsTestCase.testGetFreeSpace_String 107  SUCCESSFUL 
14 - org.apache.commons.io.FileSystemUtilsTestCase.testGetFreeSpaceWindows_String_EmptyPath 11  SUCCESSFUL 
15 - org.apache.commons.io.FileSystemUtilsTestCase.testGetFreeSpaceWindows_String_ParseCommaFormatBytes 1  SUCCESSFUL 
TOTAL TEST RUN : 15
All Class File : 444
All Java File : 188
SIZE OF THE DATABASE : 
2.1M	/Users/demigorgan/dump.rdb
